"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in INR, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,
TCS-CGST:Tax Collected at Source from Central GST,,,,,,,,,,,,,,,,,,,,,,,,,
TCS-SGST:Tax Collected at Source from State GST,,,,,,,,,,,,,,,,,,,,,,,,,
TCS-IGST:Tax Collected at Source from Integrated GST,,,,,,,,,,,,,,,,,,,,,,,,,
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961",,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
",,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,
date/time,"settlement id
","type
",order id,Sku,"description
",quantity,"marketplace
",account type,fulfillment,"order city
","order state
","order postal
","product sales
","shipping credits
","promotional rebates
",Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),"selling fees
","fba fees
","other transaction fees
","other
","total
"
1 Apr 2024 6:40:27 am UTC,21966104712,"Order
",407-0940553-8447539,MOJ08,"CarryPro Mojo 20 Ltrs (Mist Grey), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpac",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NEW DELHI,DELHI,110085,"1,609.32",0,0,289.68,0,0,-16.09,-16.1,-224.08,0,-68.44,0,"1,574.29"
1 Apr 2024 6:40:30 am UTC,21966104712,"Order
",171-6830462-6075511,MOJ03,"CarryPro Mojo 20 Ltrs(Space Grey)Everyday Laptop Backpack(Fits Laptop Up To 15.6 Inch),Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpack Fo",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,PULWAMA,JAMMU & KASHMIR,192301,"1,863.56",0,0,335.44,0,0,-18.64,-18.64,-259.48,0,-68.44,0,"1,833.80"
1 Apr 2024 6:40:33 am UTC,21967545712,"Order
",407-4005562-6213165,H2504,"CarryPro HOBO25 (Olive Green), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cov",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,DOHAD,GUJARAT,389151,"3,388.98",0,0,610.02,0,0,-33.89,-33.89,-471.88,0,-68.44,0,"3,390.90"
1 Apr 2024 6:40:43 am UTC,21967545712,"Order
",171-7435726-5705134,MOJ08,"CarryPro Mojo 20 Ltrs (Mist Grey), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpac",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,MUMBAI,MAHARASHTRA,400067,"1,609.32",0,0,289.68,0,0,-16.09,-16.1,-224.08,0,-68.44,0,"1,574.29"
1 Apr 2024 6:40:43 am UTC,21966104712,"Order
",171-8348052-0623542,CROSS04,"CarryPro SLING(Olive Green) Crossbody Bag for Men and Women with Adjustable Strap, Water Resistant (2L)",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,MUMBAI,MAHARASHTRA,400012,422.88,0,0,76.12,0,0,-4.23,-4.23,-58.88,0,-14.16,0,417.5
1 Apr 2024 6:41:25 am UTC,21966104712,"Order
",405-7592854-8617914,V2MJ2,"CarryPro MOJO V2.0 (Black), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made In I",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,JALANDHAR,PUNJAB,144411,"2,033.05",0,0,365.95,0,0,-20.33,-20.34,-283.08,0,-68.44,0,"2,006.81"
1 Apr 2024 6:44:26 am UTC,21966104712,"Order
",404-2100638-0391534,V2MJ2,"CarryPro MOJO V2.0 (Black), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made In I",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,CHENNAI,TAMIL NADU,600119,"2,033.05",0,0,365.95,0,0,-20.33,-20.34,-283.08,0,-68.44,0,"2,006.81"
1 Apr 2024 9:59:50 am UTC,21966104712,"Service Fee
",,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,"-2,027.24",-364.9,"-2,392.14"
1 Apr 2024 10:23:27 am UTC,21966104712,"Refund
",171-6343229-1078717,H25005_FBA,"CarryPro HOBO25, Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cover Included),",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",NEW DELHI,DELHI,110023,"-3,151.69",0,0,-567.31,0,0,31.52,0,285.44,0,55.46,0,"-3,346.58"
1 Apr 2024 10:35:38 am UTC,21967545712,"Order
",406-8921711-0490733,ltpdesign02_FBA,"CarryPro HOBO40(Grey & Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,"Amazon
",PUNE,MAHARASHTRA,411009,"2,994.07",0,0,538.93,0,0,-29.94,-29.95,-416.89,-225.38,-55.46,0,"2,775.38"
1 Apr 2024 1:11:52 pm UTC,21966104712,"Order
",403-4433622-8428301,H4002_FBA,"CarryPro HOBO40(Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain Cover &",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",MANDVI KACHCHH DISTRICT,GUJARAT,370465,"2,994.07",33.9,-33.9,538.93,0,0,-29.94,-29.95,-416.89,-192.34,-55.46,0,"2,808.42"
1 Apr 2024 1:40:31 pm UTC,21966104712,"Order
",403-1082637-1423529,H4004_FBA,"CarryPro HOBO40(Olive Green), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain C",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",BENGALURU,KARNATAKA,560036,"2,994.06",0,0,538.94,-14.97,-14.97,0,-29.95,-416.9,-192.34,-55.46,0,"2,808.41"
1 Apr 2024 1:59:39 pm UTC,21966104712,"Refund
",404-8253149-2989964,V2MJ2_FBA,"CarryPro MOJO V2.0 (Black), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made In I",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",Aurangabad,MAHARASHTRA,431006,"-1,863.56",0,0,-335.44,0,0,18.64,0,106.08,0,55.46,0,"-2,018.82"
1 Apr 2024 2:01:25 pm UTC,21966104712,"Order
",405-4606618-1482742,UX08_FBA,"CarryPro URBX 25 Ltrs(Mist Grey), Urban Exploration Laptop Backpack(16 inch), Two Front Organizers, Water Resistant Fabric, Roll-Top Zipper, Backpack",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",New Ashok Nagar,New Delhi,110096,"2,202.54",0,0,396.46,0,0,-22.03,-22.03,-306.68,-192.34,-55.46,0,"2,000.46"
1 Apr 2024 2:47:59 pm UTC,21966104712,"Order
",402-1606161-1640330,H25005_FBA,"CarryPro HOBO25, Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cover Included),",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",HYDERABAD,TELANGANA,500089,"3,151.69",33.9,-33.9,567.31,0,0,-31.52,-31.52,-438.84,-225.38,-55.46,0,"2,936.28"
1 Apr 2024 3:48:30 pm UTC,21967545712,"Order
",408-2959906-3022724,H4001_FBA,"CarryPro HOBO40(Rust Orange), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain C",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,"Amazon
",NEW DELHI,DELHI,110031,0,0,0,0,0,0,0,0,0,-225.38,0,0,-225.38
1 Apr 2024 4:22:33 pm UTC,21966104712,"Refund
",171-0027067-0464369,MOJ02,"CarryPro Mojo 20 Ltrs (Black), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpack Fo",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,MUMBAI,MAHARASHTRA,400064,"-1,850.85",0,84.75,-317.9,0,0,17.66,0,92.51,0,68.44,0,"-1,905.39"
1 Apr 2024 4:33:21 pm UTC,21966104712,"Order
",405-4881335-7846751,RC001_FBA,"CarryPro Rain & Dust Cover for Backpack, Waterproof Dustproof Rain Cover, Elastic Adjustable for School, College, Office,Hiking Bags (15L-24L,Black)",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",BENGALURU,KARNATAKA,560061,235.6,0,0,42.4,-1.18,-1.18,0,-2.36,-16.4,-69.62,-23.6,0,163.66
1 Apr 2024 8:41:35 pm UTC,21966104712,"Order
",402-0602754-5813105,H4002_FBA,"CarryPro HOBO40(Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain Cover &",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",THIRUPORUR,TAMIL NADU,603104,"2,994.07",0,0,538.93,0,0,-29.94,-29.95,-416.9,-192.34,-55.46,0,"2,808.41"
1 Apr 2024 9:22:28 pm UTC,21966104712,"Order
",171-5287511-3701104,V2MJ6_FBA,"CarryPro MOJO V2.0 (Olive Green), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Mad",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",MUMBAI,MAHARASHTRA,400052,"1,863.56",0,0,335.44,0,0,-18.64,-18.64,-259.48,-126.26,-55.46,0,"1,720.52"
1 Apr 2024 10:30:23 pm UTC,21967545712,"Shipping Services
",404-6252316-5516347,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,155.76,0,155.76
1 Apr 2024 10:44:58 pm UTC,21967545712,"Refund
",404-6252316-5516347,MOJ08,"CarryPro Mojo 20 Ltrs (Mist Grey), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpac",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,AIZAWL,MIZORAM,796007,"-1,609.32",0,0,-289.68,0,0,16.09,0,224.08,0,68.44,0,"-1,590.39"
2 Apr 2024 3:38:17 am UTC,21966104712,"Order
",403-0363271-2358739,H2502_FBA,"CarryPro HOBO25 (Black), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cover Inc",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",THANE,MAHARASHTRA,401107,"3,151.69",0,0,567.31,0,0,-31.52,-31.52,-438.84,-225.38,-55.46,0,"2,936.28"
2 Apr 2024 5:04:59 am UTC,21966104712,"Order
",406-2237478-0294763,H4004_FBA,"CarryPro HOBO40(Olive Green), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain C",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",New Delhi,DELHI,110017,"2,994.07",0,0,538.93,0,0,-29.94,-29.95,-416.89,-192.34,-55.46,0,"2,808.42"
2 Apr 2024 6:08:57 am UTC,21966104712,"Shipping Services
",408-5166723-7315543,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,-233.64,0,-233.64
2 Apr 2024 6:09:07 am UTC,21966104712,"Shipping Services
",171-8617464-5856333,,Easy Ship delivery service fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
2 Apr 2024 6:09:07 am UTC,21966104712,"Shipping Services
",171-8617464-5856333,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,-155.76,0,-155.76
2 Apr 2024 6:24:26 am UTC,21966104712,"Order
",408-5166723-7315543,ZOP02,CarryPro ZoPro AllPacker 22L (Limited Edition) (Black),1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,MUMBAI,MAHARASHTRA,400053,"2,541.53",0,-84.75,442.22,0,0,-24.57,-24.57,-342.08,0,-68.44,0,"2,439.34"
2 Apr 2024 6:24:35 am UTC,21966104712,"Order
",171-8617464-5856333,V2MJ2,"CarryPro MOJO V2.0 (Black), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made In I",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,MUMBAI,MAHARASHTRA,400064,"2,033.05",84.75,0,381.2,0,0,-21.18,-21.18,-294.88,0,-68.44,0,"2,093.32"
2 Apr 2024 8:46:02 am UTC,21966104712,"Service Fee
",,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,"-2,028.93",-365.21,"-2,394.14"
2 Apr 2024 9:01:28 am UTC,21967545712,"Refund
",404-6676141-8553148,V2MJ6_FBA,"CarryPro MOJO V2.0 (Olive Green), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Mad",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,"Amazon
",COIMBATORE,TAMIL NADU,641007,"-1,863.56",0,0,-335.44,0,0,18.64,0,106.08,0,55.46,0,"-2,018.82"
2 Apr 2024 9:12:49 am UTC,21967545712,"Shipping Services
",171-0797226-2549914,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,-155.76,0,-155.76
2 Apr 2024 9:28:29 am UTC,21967545712,"Order
",171-0797226-2549914,MOJ01,"CarryPro MOJO 20 Ltrs (Hot Orange), Everyday Backpack (Fits Laptop Up to 15.6 inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpack for",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,MUMBAI,MAHARASHTRA,400072,"1,609.32",0,0,289.68,0,0,-16.09,-16.1,-224.08,0,-68.44,0,"1,574.29"
2 Apr 2024 11:04:26 am UTC,21967545712,"Refund
",171-7435726-5705134,MOJ08,"CarryPro Mojo 20 Ltrs (Mist Grey), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpac",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,MUMBAI,MAHARASHTRA,400067,"-1,609.32",0,0,-289.68,0,0,16.09,0,224.08,0,68.44,0,"-1,590.39"
2 Apr 2024 12:31:14 pm UTC,21966104712,Others,,,Other Support Service fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,381.19","-2,381.19"
2 Apr 2024 12:54:27 pm UTC,21967545712,"Order
",405-9606897-1661102,H2503_FBA,"CarryPro HOBO25 (Space Grey), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cove",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,"Amazon
",BHUBANESWAR,ODISHA,751015,"3,151.69",33.9,-33.9,567.31,0,0,-31.52,-31.52,-438.84,-225.38,-55.46,0,"2,936.28"
2 Apr 2024 3:12:54 pm UTC,21966104712,"Order
",408-1617217-8763511,H4004_FBA,"CarryPro HOBO40(Olive Green), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain C",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",Chamba,HIMACHAL PRADESH,176207,"2,994.07",0,0,538.93,0,0,-29.94,-29.95,-416.89,-192.34,-55.46,0,"2,808.42"
2 Apr 2024 4:05:52 pm UTC,21967545712,"Service Fee
",,,Subscription,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Apr 2024 7:21:13 pm UTC,21966104712,"Order
",406-3438153-7289907,H4001_FBA,"CarryPro HOBO40(Rust Orange), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain C",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",New Delhi,DELHI,110017,"2,994.07",0,0,538.93,0,0,-29.94,-29.95,-416.89,-225.38,-55.46,0,"2,775.38"
2 Apr 2024 11:05:04 pm UTC,21966104712,"Order
",406-5295522-9057134,ltpdesign02_FBA,"CarryPro HOBO40(Grey & Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",BENGALURU,KARNATAKA,560102,"2,994.06",0,0,538.94,-14.97,-14.97,0,-29.95,-416.9,-225.38,-55.46,0,"2,775.37"
2 Apr 2024 11:18:40 pm UTC,21967545712,"Order
",171-7177612-9408331,MOJ05_FBA,"CarryPro Mojo 20 Ltrs (Yellow), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpack F",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,"Amazon
",VIRAR West,MAHARASHTRA,401302,"1,609.32",33.9,-33.9,289.68,0,0,-16.09,-16.1,-224.08,-126.26,-55.46,0,"1,461.01"
3 Apr 2024 5:36:15 am UTC,21966104712,"Order
",406-4818971-9476341,ltpdesign02_FBA,"CarryPro HOBO40(Grey & Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),"Amazon
",Bengaluru,KARNATAKA,560022,"2,994.06",0,0,538.94,-14.97,-14.97,0,-29.95,-416.9,-225.38,-55.46,0,"2,775.37"
3 Apr 2024 6:05:41 am UTC,21967545712,"Shipping Services
",408-7892542-5295537,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,-178.18,0,-178.18
