amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba 
403-5462271-1471550,403-5462271-1471550,2024-04-22T11:28:56+00:00,2024-04-24T14:34:17+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO40(Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain Cover &",H4002_FBA,B0BN33W9RJ,Shipped,1,INR,3533,,40,,,,,40,KOZHIKODE,KERALA,673571,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
405-1587569-1821902,405-1587569-1821902,2024-04-22T09:50:29+00:00,2024-04-22T19:36:18+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Space Grey), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain",H2503_FBA,B0BKPQ9VWL,Shipped,1,INR,3719,,,,,,,,MUMBAI,MAHARASHTRA,400063,IN,,FALSE,,,,FALSE
404-4806994-5075503,404-4806994-5075503,2024-04-22T08:49:39+00:00,2024-04-22T21:28:34+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro Mojo 20 Ltrs (Yellow), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpack F",MOJ05_FBA,B0BCK9DFD4,Shipped,1,INR,1899,,40,,,,,40,RAWATSAR,RAJASTHAN,335524,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
406-1812352-7089118,406-1812352-7089118,2024-04-22T08:23:26+00:00,2024-04-22T10:47:29+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Space Grey), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain",H2503_FBA,B0BKPQ9VWL,Shipped,1,INR,3719,,,,,,,,NEW TOWN,WEST BENGAL,700136,IN,,FALSE,,,,FALSE
402-1497436-4204345,,2024-04-22T07:23:08+00:00,2024-05-03T06:30:27+00:00,Shipped - Returned to Seller,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,"CarryPro Mojo 20 Ltrs (Mist Grey), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpack For Women&Men,365 Days Warranty, Made In India",MOJ08,B0CDL6V63S,Shipped,1,INR,1899,289.68,,,,,,,Srinagar,JAMMU & KASHMIR,190010,IN,,FALSE,,,Easy Ship,FALSE
171-6539763-1019510,171-6539763-1019510,2024-04-22T06:42:09+00:00,2024-04-22T10:49:26+00:00,Cancelled,Amazon,Amazon.in,,,Expedited,"CarryPro MOJO 20 Ltrs (Purple), Everyday Backpack (Fits Laptop Up to 15.6 inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpack for Wome",MOJ07_FBA,B0C1NS1RWP,Cancelled,0,,,,,,,,,,SHILLONG,MEGHALAYA,793022,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
408-4107876-4695524,408-4107876-4695524,2024-04-22T06:09:37+00:00,2024-04-22T06:12:07+00:00,Cancelled,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Olive Green), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rai",H2504_FBA,B0BJXNT8V6,Cancelled,0,,,,,,,,,,PUNE,MAHARASHTRA,411005,IN,,FALSE,,,,FALSE
171-9237226-5901928,171-9237226-5901928,2024-04-22T05:47:38+00:00,2024-04-22T14:36:43+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro MOJO V2.0 (Yellow), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made In",V2MJ5_FBA,B0CTWSM13Y,Shipped,1,INR,2199,,,,,,,,BENGALURU,KARNATAKA,560095,IN,,FALSE,,,,FALSE
171-7258219-2223541,171-7258219-2223541,2024-04-22T05:45:23+00:00,2024-04-22T05:47:03+00:00,Cancelled,Amazon,Amazon.in,,,Expedited,"CarryPro MOJO V2.0 (Yellow), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made In",V2MJ5_FBA,B0CTWSM13Y,Cancelled,0,,,,,,,,,,BENGALURU,KARNATAKA,560095,IN,,FALSE,,,,FALSE
405-1374032-0223523,,2024-04-22T04:44:40+00:00,2024-04-26T08:41:34+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Mist Grey),CP008,B0D1V4GV3H,Shipped,1,INR,299,45.61,,,,,,,Mumbai,Maharashtra,400013,IN,,FALSE,,,Easy Ship,FALSE
171-0503896-7808348,,2024-04-22T04:43:14+00:00,2024-04-23T09:42:06+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,"CarryPro Mojo 20 Ltrs (Mist Grey), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpack For Women&Men,365 Days Warranty, Made In India",MOJ08,B0CDL6V63S,Shipped,1,INR,1899,289.68,,,,,,,Gurugram,HARYANA,122018,IN,,FALSE,,,Easy Ship,FALSE
402-3221047-4802716,402-3221047-4802716,2024-04-22T03:40:28+00:00,2024-04-22T05:16:27+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Olive Green), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rai",H2504_FBA,B0BJXNT8V6,Shipped,1,INR,3719,,,,,,,,THANE,MAHARASHTRA,400607,IN,,TRUE,,,,FALSE
405-5555105-0201150,405-5555105-0201150,2024-04-22T03:37:57+00:00,2024-04-23T09:17:51+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro MOJO V2.0 (Yellow), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made In",V2MJ5_FBA,B0CTWSM13Y,Shipped,1,INR,2199,,40,,,,,40,PRAYAGRAJ,UTTAR PRADESH,211007,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
408-6177575-5714752,408-6177575-5714752,2024-04-21T20:44:18+00:00,2024-04-23T11:01:07+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO40(Olive Green), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain C",H4004_FBA,B0C1T1JLSQ,Shipped,1,INR,3533,,40,,,,,40,HATHRAS,UTTAR PRADESH,204101,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
403-4271648-3999505,403-4271648-3999505,2024-04-21T20:17:23+00:00,2024-04-23T12:17:31+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro Rain & Dust Cover for Backpack, Waterproof Dustproof Rain Cover, Elastic Adjustable for School, College, Office,Hiking Bags (15L-24L,Black)",RC001_FBA,B0CBVW1TFK,Shipped,1,INR,278,,40,,,,,,Delhi,New Delhi,110068,IN,,FALSE,,,,FALSE
404-0584412-6761113,404-0584412-6761113,2024-04-21T17:50:48+00:00,2024-04-22T05:21:25+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro MOJO V2.0 (Yellow), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made In",V2MJ5_FBA,B0CTWSM13Y,Shipped,1,INR,2199,,,,,,,,THANE,MAHARASHTRA,400615,IN,,FALSE,,,,FALSE
